subject,ps,stk1,stk2,stk3,dep
PD01-18LPM,ps1,0.00029607623140006,0.00113000649268848,0.000353695556228693,0.0025625258
PD01-45LPM,ps1,0.000740190578500149,0.00282501623172119,0.000884238890571734,0.0059707628
PD07-18LPM,ps1,0.000422588034020348,0.000768784703303809,0.000231601928047506,0.0035677882
PD07-45LPM,ps1,0.00105647008505087,0.00192196175825952,0.000579004820118765,0.0073906789
PD03-18LPM,ps1,0.000305848190633698,0.0019349584471455,0.000528953430881145,0.0072389886
PD03-45LPM,ps1,0.000764620476584244,0.00483739611786375,0.00132238357720286,0.015318627
PD02-18LPM,ps1,0.000363818820749424,0.00180120033429895,0.000496222988788415,0.013820639
PD02-45LPM,ps1,0.000909547053492652,0.00450300083574739,0.00124055747197104,0.023981808
PD08-18LPM,ps1,0.000761236995810103,0.00531516507456398,0.00049559041883045,0.0206100549
PD08-45LPM,ps1,0.00190309248952526,0.0132879126864099,0.00123897604707613,0.0433841756
PD20-18LPM,ps1,0.000432032011399168,0.00163746314707341,0.000491743009550661,0.0223067404
PD20-45LPM,ps1,0.00108008002849792,0.00409365786768352,0.00122935752387665,0.0471074343
PD21-18LPM,ps1,0.000306720413352503,0.000795603829661483,0.000727085261221496,0.0133974216
PD21-45LPM,ps1,0.000766801033381257,0.00198900957415371,0.00181771315305374,0.0260583004
PD09-18LPM,ps1,0.000807334391185439,0.0049606450902499,0.000550222958737615,0.0148870636
PD09-45LPM,ps1,0.0020183359779636,0.0124016127256248,0.00137555739684404,0.032522011
PD19-18LPM,ps1,0.000222408449633086,0.0173860396650641,0.000412652382148402,0.0104529621
PD19-45LPM,ps1,0.000556021124082715,0.0434650991626604,0.001031630955371,0.0195453175
PD10-18LPM,ps1,0.000283349651607357,0.00240818340609519,0.000198790048380985,0.0121776504
PD10-45LPM,ps1,0.000708374129018392,0.00602045851523798,0.000496975120952462,0.0268159835
PD13-18LPM,ps1,0.00034099709552507,0.00103696677709766,0.000544609205107357,0.006861239
PD13-45LPM,ps1,0.000852492738812675,0.00259241694274414,0.00136152301276839,0.014497224
PD01-18LPM,ps2,0.0010987679643231,0.00419356504158392,0.0013125989359896,0.0039909946
PD01-45LPM,ps2,0.00274691991080775,0.0104839126039598,0.00328149733997399,0.0080926044
PD07-18LPM,ps2,0.00156826568513174,0.00285303551540576,0.000859497494313255,0.0035670602
PD07-45LPM,ps2,0.00392066421282935,0.00713258878851439,0.00214874373578314,0.009797917
PD03-18LPM,ps2,0.00113503266447758,0.00718082077702173,0.00196299811613611,0.0094521802
PD03-45LPM,ps2,0.00283758166119396,0.0179520519425543,0.00490749529034027,0.021783388
PD02-18LPM,ps2,0.00135016736455662,0.00668443128750033,0.00184153223196308,0.0142696975
PD02-45LPM,ps2,0.00337541841740016,0.0167110782187508,0.00460383057990771,0.044786851
PD08-18LPM,ps2,0.00282502523184146,0.0197250994495694,0.00183918470274158,0.0219971306
PD08-45LPM,ps2,0.00706256307960364,0.0493127486239234,0.00459796175685395,0.120739225
PD20-18LPM,ps2,0.00160331321242081,0.00607678650952857,0.00182490658915481,0.028317319
PD20-45LPM,ps2,0.00400828303105204,0.0151919662738214,0.00456226647288703,0.14074836
PD21-18LPM,ps2,0.00113826956862435,0.00295256392649637,0.00269828479166974,0.0136470113
PD21-45LPM,ps2,0.00284567392156087,0.00738140981624094,0.00674571197917435,0.0468350517
PD09-18LPM,ps2,0.00299609719205131,0.0184094409800103,0.00204193142231356,0.0197301199
